App,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Preschool All-In-One,"January 20, 2020",51M,"1,000,000+",1.0.4,4.1 and up,Everyone,Digital Purchases,$0.99 - $1.99 per item,View details,Flag as inappropriate,Spongeminds,Visit website,
Kpop Music Quiz (K-pop Game),"May 8, 2017",59M,"100,000+",1.3,4.1 and up,Everyone,,,View details,Flag as inappropriate,zaz! powered,Visit website,
Radio K - KUOM,"February 12, 2019",7.4M,"1,000+",3.0.92,4.1 and up,Everyone,,,View details,Flag as inappropriate,Radio K (KUOM) - University of Minnesota,Visit website,
Fuzzy Numbers: Pre-K Number Foundation,"July 21, 2017",44M,"1,000+",1.3,4.1 and up,Everyone,,,View details,Flag as inappropriate,"Cognitive ToyBox, Inc.",Visit website,
KakaoTalk: Free Calls & Text,"April 2, 2020",96M,"100,000,000+",8.8.1,4.4 and up,Everyone,"Users Interact, Shares Location, Digital Purchases",$0.99 - $79.73 per item,View details,Flag as inappropriate,Kakao Corporation,Visit website,
Speech Therapy: K,"October 7, 2016",15M,"1,000+",1.0,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Speech Therapy Talk,Visit website,
K-Otic Universe,"August 12, 2018",40M,"5,000+",109,4.1 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,Games By DC,scmatrix2000@gmail.com,
Mermaid Princess Pre K Games,"March 19, 2020",33M,"10,000+",3.10,4.1 and up,Everyone,Digital Purchases,$2.99 per item,View details,Flag as inappropriate,Family Play ltd,Visit website,
"K-Spapp, the K-Space app","February 9, 2017",3.6M,"5,000+",1.53,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Springorum,Visit website,
"Math Quiz Free: Grades K,1,2,3","February 3, 2015",13M,"10,000+",1.0,4.0 and up,Everyone,,,View details,Flag as inappropriate,Maelstrom Interactive,Visit website,
Magic Tiles - Blackpink Edition (K-Pop),"November 21, 2018",71M,"1,000,000+",1900003,4.0 and up,Everyone,,,View details,Flag as inappropriate,Ryan Alencar,Visit website,
Anna.K Tarot,"January 16, 2017",23M,100+,1.4.4,4.0.3 and up,Mature 17+,,,View details,Flag as inappropriate,The Fool's Dog,Visit website,
K-pop Music,"August 27, 2019",19M,100+,1.0.0,4.4 and up,Teen,,,View details,Flag as inappropriate,MusicFactory Apps,pritunavase77@gmail.com,
Daily K-Talk,"February 13, 2020",Varies with device,"50,000+",Varies with device,4.0 and up,Everyone,,,View details,Flag as inappropriate,Talking Korea,Visit website,
Korean Dungeon: K-Word 1000,"November 19, 2019",34M,"50,000+",1.1.0,4.1 and up,Everyone 10+,,$0.99 - $9.99 per item,View details,Flag as inappropriate,Terry Young Studio,Visit website,
Talking Tom Gold Run,"March 11, 2020",87M,"100,000,000+",4.2.0.551,4.4 and up,Everyone,Digital Purchases,$0.99 - $109.99 per item,View details,Flag as inappropriate,Outfit7 Limited,Visit website,
Lep's World 🍀,"September 30, 2019",Varies with device,"100,000,000+",4.5.2,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $104.99 per item,View details,Flag as inappropriate,nerByte GmbH,Visit website,
"L.POINT - 엘포인트 [ 포인트, 멤버십, 적립, 사용, 모바일 카드, 쿠폰, 롯데]","April 2, 2020",73M,"5,000,000+",6.9.9,4.1 and up,Everyone,,,View details,Flag as inappropriate,L.POINT,Visit website,
Love Balls,"March 17, 2020",55M,"100,000,000+",1.5.3,4.1 and up,Teen,Digital Purchases,$0.99 - $19.99 per item,View details,Flag as inappropriate,Lion Studios,Visit website,
Last Day on Earth: Survival,"March 16, 2020",Varies with device,"50,000,000+",1.16.4,4.1 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Kefir!,Visit website,
EXO-L Amino for EXO Fans,"December 13, 2019",100M,"100,000+",2.7.32310,4.1 and up,Teen,"Users Interact, Shares Location",,View details,Flag as inappropriate,Amino Apps,Visit website,
Calculator L,"May 10, 2015",2.4M,"1,000,000+",1.1.3,4.3 and up,Everyone,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,Shakti Malik,Visit website,
My Teacher - Classroom Play,"November 8, 2019",61M,"10,000,000+",1.1.6,4.4 and up,Everyone,In-Game Purchases,$0.99 - $4.99 per item,View details,Flag as inappropriate,TabTale,Visit website,
French to English Speaking - Apprendre l' Anglais,"December 30, 2019",14M,"1,000,000+",37.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,DevelopItNowadays Solutions,Visit website,
Cheating Tom 3 - Genius School,"January 10, 2020",94M,"10,000,000+",1.0.21,4.4 and up,Teen,In-Game Purchases,$1.99 - $99.99 per item,View details,Flag as inappropriate,Crazy Labs by TabTale,Visit website,
Dialer theme Droid L,"March 15, 2020",8.1M,"100,000+",16.0,4.1 and up,Mature 17+,,,View details,Flag as inappropriate,Luklek,Visit website,
SPEED L,"April 2, 2020",5.6M,"100,000+",1.33,4.4 and up,Everyone,,,View details,Flag as inappropriate,LOTTE Mart Vietnam,Visit website,
Lie Detector Test Prank,"July 22, 2019",8.2M,"10,000,000+",5.2.2,4.4 and up,Everyone,,,View details,Flag as inappropriate,Eijoy Entertainment,Visit website,
Xbox,"March 13, 2020",58M,"50,000,000+",2002.0229.0010,4.4 and up,Teen,"Users Interact, Digital Purchases",,View details,Flag as inappropriate,Microsoft Corporation,Visit website,
Je Parle ANGLAIS - Apprendre l’anglais Audio cours,"November 15, 2019",27M,"100,000+",2.8,4.0.3 and up,Everyone,Digital Purchases,$1.49 per item,View details,Flag as inappropriate,RosMedia Education,Visit website,
"Mobizen Screen Recorder - Record, Capture, Edit","March 24, 2020",Varies with device,"100,000,000+",3.7.5.3,4.4 and up,Everyone,,$0.99 - $43.99 per item,View details,Flag as inappropriate,MOBIZEN,Visit website,
Minecraft,"February 6, 2020",Varies with device,"10,000,000+",1.14.30.2,4.2 and up,Everyone 10+,Users Interact,$0.99 - $49.99 per item,View details,Flag as inappropriate,Mojang,Visit website,
Mobizen Screen Recorder for SAMSUNG,"March 31, 2020",29M,"10,000,000+",3.7.5.3,4.4,Everyone,,$0.99 - $43.99 per item,View details,Flag as inappropriate,MOBIZEN,Visit website,
M-Files,"March 20, 2020",91M,"50,000+",3.9.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,M-Files Corporation,Visit website,
"Mobizen Screen Recorder for LG - Record, Capture","March 31, 2020",29M,"5,000,000+",3.7.5.3,4.4 and up,Everyone,,$0.99 - $43.99 per item,View details,Flag as inappropriate,MOBIZEN,Visit website,
MakeupPlus - Your Own Virtual Makeup Artist,"April 9, 2020",63M,"50,000,000+",5.3.8,4.4 and up,Everyone,,,View details,Flag as inappropriate,Meitu (China) Limited,Visit website,
MEGA,"March 23, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Everyone,"Users Interact, Digital Purchases",$5.30 - $318.10 per item,View details,Flag as inappropriate,Mega Ltd,Visit website,
360-M Flight,"June 5, 2019",30M,"50,000+",2.30,5.0 and up,Everyone,,,View details,Flag as inappropriate,Leo lu,lu.leoman@gmail.com,
M-acceleration 3D Car Racing,"June 28, 2018",34M,"100,000+",1.6,4.1 and up,Everyone,,,View details,Flag as inappropriate,Imants,Visit website,
m>notes notepad,"December 4, 2015",Varies with device,"1,000+",Varies with device,2.2 and up,Everyone,,,View details,Flag as inappropriate,>devmiles,Visit website,
M-Sight Pro,"March 25, 2020",28M,"10,000+",3.1.0.2-r18,4.0 and up,Everyone,,,View details,Flag as inappropriate,"Milesight Technology Co., Ltd.",Visit website,
MX Player,"April 10, 2020",Varies with device,"500,000,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,MX Media & Entertainment (formerly J2 Interactive),Visit website,
M star Dialer,"November 4, 2019",6.8M,"100,000+",4.0.5,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Voiz Communication,Visit website,
Free WiFi Connect,"January 10, 2020",9.2M,"10,000,000+",8.4,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Mentisco,Visit website,
M Theme - Dark Green Icon Pack,"November 16, 2016",4.9M,"10,000+",1.2.3,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,UPRUI Launcher Group,launcher6group@gmail.com,
m:go BiH,"April 10, 2020",23M,"50,000+",4.2,4.3 and up,Everyone,,,View details,Flag as inappropriate,mtelbih,Visit website,
Rope'n'Fly 4,"July 24, 2019",70M,"10,000,000+",3.7,4.1 and up,Everyone,Digital Purchases,$1.06 per item,View details,Flag as inappropriate,Djinnworks GmbH,Visit website,
Hands 'n Guns Simulator,"November 29, 2018",71M,"1,000,000+",37,4.1 and up,Mature 17+,,,View details,Flag as inappropriate,Besker,mtimi678@gmail.com,
Hide N Seek : Mini Game,"April 6, 2020",50M,"1,000,000+",6.8,4.2 and up,Everyone 10+,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Finger Legend Inc.,fingerlegend@gmail.com,
Cook'n Recipe App,"April 9, 2020",25M,"50,000+",4.4.9,4.4 and up,Everyone,,$0.99 - $14.99 per item,View details,Flag as inappropriate,DVO Enterprises,Visit website,
Rope'n'Fly 3 - Dusk Till Dawn,"July 30, 2019",36M,"10,000,000+",3.7,4.1 and up,Everyone 10+,,$1.02 - $5.81 per item,View details,Flag as inappropriate,Djinnworks GmbH,Visit website,
Tap N Pay,"March 29, 2019",9.4M,"50,000+",0.2.36,4.1 and up,Everyone,,,View details,Flag as inappropriate,Mobilityone Sdn Bhd,Visit website,
N-Com Wizard,"October 24, 2019",3.9M,"50,000+",2.1.6,4.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Nolangroup s.p.a.,Visit website,
Drag'n'Boom,"January 12, 2018",54M,"5,000,000+",1.1.1,4.4 and up,Everyone 10+,Digital Purchases,$2.49 per item,View details,Flag as inappropriate,ANKAMA GAMES,Visit website,
Traps n' Gemstones,"April 3, 2019",8.7M,"1,000+",1.05,4.1 and up,Everyone,,,View details,Flag as inappropriate,Donut Games,Visit website,
N Files - File Manager & Explorer,"January 5, 2020",15M,"10,000+",3.1.4,5.0 and up,Everyone,,,View details,Flag as inappropriate,nTools,support@ntoolslab.com,
Guns'n'Glory Zombies Premium,"September 11, 2019",39M,"10,000+",1.1.8,4.1 and up,Everyone 10+,In-Game Purchases,$2.99 - $89.99 per item,View details,Flag as inappropriate,HandyGames,Visit website,
Guns'n'Glory Premium,"September 22, 2017",21M,"100,000+",1.8.1,2.3.3 and up,Everyone 10+,In-Game Purchases,$7.99 per item,View details,Flag as inappropriate,HandyGames,Visit website,
Madagascar Surf n' Slides Free,"September 8, 2017",45M,"5,000,000+",1.5.0,4.0 and up,Everyone,Digital Purchases,$0.99 - $19.99 per item,View details,Flag as inappropriate,JumpStart Games,Visit website,
Guns'n'Glory,"February 9, 2018",22M,"5,000,000+",1.8.2,4.0 and up,Everyone 10+,In-Game Purchases,$2.99 - $7.99 per item,View details,Flag as inappropriate,HandyGames,Visit website,
Ghosts'n Goblins MOBILE,"March 28, 2017",28M,"10,000+",1.00.02,4.1 and up,Everyone,,,View details,Flag as inappropriate,"CAPCOM CO., LTD.",Visit website,
Mopar Drag N Brag,"May 25, 2015",17M,"1,000,000+",1.2.5,4.1 and up,Everyone,Digital Purchases,$0.99 - $49.99 per item,View details,Flag as inappropriate,Minicades Mobile,Visit website,
Read Unlimitedly! Kids'n Books,"February 16, 2018",31M,"1,000,000+",3.42,2.3 and up,Everyone,Digital Purchases,$1.26 - $46.99 per item,View details,Flag as inappropriate,"SMART EDUCATION, LTD.",Visit website,
Fantastic Chefs: Match 'n Cook,"April 3, 2019",94M,"1,000,000+",1.8.2,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,99Games,Visit website,
Guns'n'Glory Heroes Premium,"September 11, 2019",Varies with device,"10,000+",Varies with device,Varies with device,Everyone,In-Game Purchases,$1.99 - $9.99 per item,View details,Flag as inappropriate,HandyGames,Visit website,
Eat'n Park,"February 18, 2020",28M,"50,000+",4.4,4.1 and up,Everyone,,,View details,Flag as inappropriate,Eat 'n Park Restaurants,Visit website,
Draw N Guess Multiplayer,"April 7, 2020",27M,"1,000,000+",4.3.11,4.1 and up,Everyone,Users Interact,$0.99 - $99.99 per item,View details,Flag as inappropriate,Time Plus Q Games,Visit website,
Car Parking Crane N Drifting,"March 16, 2020",83M,"100,000+",2.1,4.1 and up,Everyone,,,View details,Flag as inappropriate,Mad Bird Games,sandip786Goswami@gmail.com,
Age of Conquest: N. America,"October 16, 2019",3.1M,"10,000+",1.1.1,3.0 and up,Everyone,,,View details,Flag as inappropriate,Noble Master Games,Visit website,
Guns'n'Glory WW2 Premium,"December 8, 2017",20M,"100,000+",1.4.11,4.0 and up,Everyone 10+,In-Game Purchases,$0.99 - $7.99 per item,View details,Flag as inappropriate,HandyGames,Visit website,
Rock n Roll Music Quiz Game,"October 24, 2019",7.5M,"10,000+",8.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Quiz Corner,vukadinovic1979@gmail.com,
Cook 'n Learn Smart Kitchen,"March 6, 2017",62M,"100,000+",1.0.4,4.3 and up,Everyone,,,View details,Flag as inappropriate,MGA Entertainment,Visit website,
Jump'N'Shoot Attack,"May 26, 2018",32M,"1,000+",1.2,4.1 and up,Everyone,,,View details,Flag as inappropriate,FreakZone Games,Visit website,
Ghouls'n Ghosts MOBILE,"May 18, 2017",49M,"10,000+",1.00.00,4.1 and up,Everyone 10+,,,View details,Flag as inappropriate,"CAPCOM CO., LTD.",Visit website,
N-Back,"February 15, 2016",930k,"10,000+",1.6,2.1 and up,Everyone,,,View details,Flag as inappropriate,Piotr Wieczorek,p@wie.cz,
Opera Mini - fast web browser,"April 6, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Everyone,"Digital Purchases, Unrestricted Internet",,View details,Flag as inappropriate,Opera,Visit website,
Planet O - Icon Pack,"October 17, 2018",24M,"50,000+",1.7.1,4.1 and up,Everyone,,,View details,Flag as inappropriate,A1 Design,myrainy2014@gmail.com,
O Launcher 8.0 for Android™ O Oreo Launcher,"January 21, 2020",4.4M,"10,000+",1.0.7,5.0 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,XApp Team,Visit website,
Opera Mini browser beta,"April 9, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Everyone,"Digital Purchases, Unrestricted Internet",,View details,Flag as inappropriate,Opera,Visit website,
O Shopping,"July 23, 2018",3.6M,"500,000+",1.1.2,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,A CJ O SHOPPING,Visit website,
O'Route Orienteering,"August 7, 2019",1.6M,100+,2.2,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,HippsomApp,Visit website,
Drink-O-Tron The Drinking Game,"August 31, 2019",52M,"50,000+",1.8,4.0.3 and up,Mature 17+,Digital Purchases,$0.99 - $3.99 per item,View details,Flag as inappropriate,Prodigal Creative,Visit website,
Multiling O Keyboard + emoji,"May 22, 2019",573k,"1,000,000+",pie.1.0.1,4.4 and up,Everyone,,,View details,Flag as inappropriate,Honso,Visit website,
O Launcher,"March 5, 2019",10M,"500,000+",1.2.0,5.0 and up,Everyone,,,View details,Flag as inappropriate,Mobile Star Corp,Visit website,
Verdad o Reto,"March 14, 2020",7.7M,"1,000,000+",2.4,4.0.3 and up,Teen,,,View details,Flag as inappropriate,Moon Technology,info.moontechno@gmail.com,
Pixlr-o-matic,"April 25, 2017",6.1M,"10,000,000+",2.2.5,2.1 and up,Everyone,,,View details,Flag as inappropriate,123RF Limited,Visit website,
"O Multiple - App Cloner, Duals APP, tarallel","January 7, 2019",8.9M,"500,000+",1.0.15,4.1 and up,Everyone,,,View details,Flag as inappropriate,O Multiple Developer,qinsong0812@gmail.com,
The Maze Runner,"January 28, 2018",32M,"10,000+",2.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,AFOLI Games,Visit website,
Psiphon Pro - The Internet Freedom VPN,"April 6, 2020",21M,"50,000,000+",263,4.0 and up,Everyone,"Unrestricted Internet, In-App Purchases",$0.99 - $74.99 per item,View details,Flag as inappropriate,Psiphon Inc.,Visit website,
P Icon Pack for Pixel,"May 6, 2018",51M,"10,000+",1.0.3,4.1 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,XDesign Team,Visit website,
P-Home for KLWP,"May 15, 2018",12M,100+,v2018.May.15.14,5.0 and up,Everyone,,,View details,Flag as inappropriate,Jordan X 'Jobe1785',jobe17855@gmail.com,
pixiv,"April 9, 2020",19M,"1,000,000+",Varies with device,Varies with device,Mature 17+,"Users Interact, Digital Purchases",$0.99 - $84.99 per item,View details,Flag as inappropriate,pixiv Inc.,Visit website,
[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,"January 29, 2019",38M,500+,H7SubTV0.2_TV1.0,7.0 and up,Everyone,,,View details,Flag as inappropriate,Hamzio7,Visit website,
Volume Slider Like Android P Volume Control,"December 25, 2019",1.7M,"50,000+",3.5,4.1 and up,Everyone,,,View details,Flag as inappropriate,Yogesh Dama,Visit website,
P Launcher for Android™ 9.0,"February 26, 2020",4.3M,"50,000+",1.2.2,5.0 and up,Everyone,,,View details,Flag as inappropriate,XApp Team,Visit website,
PixelLab - Text on pictures,"March 30, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Everyone,,$2.99 per item,View details,Flag as inappropriate,App Holdings,Visit website,
P Theme for Android™ P 9.0 Style Launcher,"April 13, 2018",5.7M,"100,000+",1.4,4.1 and up,Everyone,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,Launchers Mart,bravo.gamespk92@gmail.com,
P XPERIA Theme™ | Design For SONY 🎨,"May 28, 2018",16M,"100,000+",1.0.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Ga,Visit website,
Parallel Space - Multiple accounts & Two face,"April 8, 2020",Varies with device,"100,000,000+",4.0.8934,Varies with device,Everyone,,$0.99 - $9.99 per item,View details,Flag as inappropriate,LBE Tech,Visit website,
P XPERIA Theme™ | PURPLE - Design For SONY 🎨,"June 5, 2018",13M,"1,000+",1.0.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Ga,Visit website,
P XPERIA Theme™ | INDIGO - Design For SONY 🎨,"June 5, 2018",14M,"10,000+",1.0.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Ga,Visit website,
pretty Easy privacy p≡p,"October 30, 2018",20M,"1,000+",1.0.213.withoutKeysync,4.3 and up,Everyone,Users Interact,,View details,Flag as inappropriate,pEp Security S.A.,Visit website,
Pi Dark [substratum],"March 27, 2018",2.1M,"50,000+",1.1,,Everyone,,,View details,Flag as inappropriate,Christopher Kardas ⚡,Visit website,
Q,"November 6, 2019",68M,"1,000,000+",2.10.8,4.1 and up,Everyone,Digital Purchases,$0.99 - $15.99 per item,View details,Flag as inappropriate,liica Inc.,Visit website,
Q Cat Live Wallpaper,"October 7, 2018",9.1M,"500,000+",2.8,4.0 and up,Teen,,,View details,Flag as inappropriate,KKPICTURE,slkl.kk@hotmail.com,
Q MINDshare Mobile,"September 16, 2019",Varies with device,"10,000+",Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,"Count5, LLC",Visit website,
Fossil Q Legacy,"March 30, 2020",59M,"100,000+",1.17.4,4.4 and up,Everyone,,,View details,Flag as inappropriate,"Fossil Group, Inc.",Visit website,
Offroad Car Q,"August 4, 2016",40M,"1,000,000+",1.0.2,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Oppana Games,Visit website,
Gun Shoot War Q,"March 1, 2017",20M,"1,000,000+",1.0.5,2.3 and up,Teen,,,View details,Flag as inappropriate,RAY3D,Visit website,
FaceQ,"July 28, 2019",19M,"10,000,000+",3.6.4,4.1 and up,Everyone,,,View details,Flag as inappropriate,"Lemon, Inc.",Visit website,
Q Actions - Digital Assistant,"March 11, 2020",Varies with device,500+,Varies with device,Varies with device,Everyone,,,View details,Flag as inappropriate,"Aiqudo, Inc.",Visit website,
Q Avatar (Avatar Maker),"December 23, 2018",4.4M,"100,000+",1.3.7,4.0 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,Pocket-Studio,Visit website,
Q Avatar Pro,"November 3, 2018",4.4M,100+,1.3.6,4.0 and up,Teen,Users Interact,,View details,Flag as inappropriate,Pocket-Studio,xiliangm8@gmail.com,
Q-See Plus,"March 25, 2020",56M,"10,000+",3.3.0,4.1 and up,Everyone,"Users Interact, Digital Purchases",,View details,Flag as inappropriate,DPSI,Visit website,
Q Wunder,"June 20, 2019",43M,"10,000+",2.0.18,4.1 and up,Everyone,,$7.99 - $64.99 per item,View details,Flag as inappropriate,EQtainment,Visit website,
Q-See QC View,"April 23, 2019",Varies with device,"100,000+",Varies with device,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,DPSI,Visit website,
Q Remote Control,"July 12, 2014",14M,"500,000+",2.6.1,2.3 and up,Everyone,,,View details,Flag as inappropriate,Remote Systems,Visit website,
myQ,"February 6, 2020",13M,"500,000+",4.1.1,4.1 and up,Everyone,,,View details,Flag as inappropriate,WIND HELLAS TELECOMMUNICATIONS S.A.,Visit website,
QR Code Reader,"February 11, 2020",3.7M,"1,000,000+",1.2.9,4.0 and up,Everyone,,,View details,Flag as inappropriate,Scan Mobile,scanmobileapp@gmail.com,
Q-slope,"October 28, 2018",3.9M,100+,7.0,4.3 and up,Everyone,,,View details,Flag as inappropriate,Sator,Visit website,
Q-Tech Companion App,"March 8, 2017",3.1M,"10,000+",1.6.3,4.4 and up,Everyone,,,View details,Flag as inappropriate,The Companion Group,Visit website,
Q Mobile Banking,"October 23, 2019",17M,"10,000+",6.1.1.0,6.0 and up,Everyone,,,View details,Flag as inappropriate,Queensborough National Bank & Trust Company,Visit website,
Big Q Car Service,"May 30, 2019",28M,"5,000+",5.002.134,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,LimoSys Software,Visit website,
Q-See QT View,"December 5, 2019",39M,"500,000+",4.7.0,5.0 and up,Everyone,,,View details,Flag as inappropriate,DPSI,Visit website,
R Language Reference Guide,"October 19, 2019",2.9M,"10,000+",1.14,4.0 and up,Everyone,,,View details,Flag as inappropriate,Zdiv,zdivdev@gmail.com,
Run R Script - Online Statistical Data Analysis,"April 4, 2018",6.2M,"10,000+",1.1 Build 226,2.2 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Liila Tech (Mobile Apps by PT VaRiskindo),Visit website,
R Programming Language,"December 5, 2019",3.0M,"5,000+",2.2,4.2 and up,Everyone,,,View details,Flag as inappropriate,The EasyLearn Academy,Visit website,
R Programming,"October 25, 2018",6.4M,"1,000+",1.1,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Intelitech,Visit website,
GT-R R35 Drift Simulator,"December 17, 2019",54M,"500,000+",1.5,4.1 and up,Everyone,,,View details,Flag as inappropriate,Process Games,Visit website,
Offroad Pickup Truck R,"July 14, 2017",96M,"1,000,000+",1.4,2.3 and up,Everyone,Digital Purchases,$0.99 - $114.99 per item,View details,Flag as inappropriate,Oppana Games,Visit website,
R Programming Tutorial,"February 24, 2020",2.8M,100+,1.2,4.0 and up,Everyone,,,View details,Flag as inappropriate,Health Fitness and Tutorials,nitin77.prajapati@gmail.com,
R Programing Offline Tutorial,"March 15, 2018",3.9M,"10,000+",1.0.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,Shakti Singh Tanwar,Visit website,
Learn R Language Easy Way,"November 24, 2018",2.4M,"10,000+",1.2.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Moonbit Media,nimiko@tutanota.com,
.R,"September 16, 2014",203k,"10,000+",1.1.06,1.5 and up,Everyone,,,View details,Flag as inappropriate,sa-y,Visit website,
R-TYPE II,"March 2, 2017",37M,"50,000+",1.1.5,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Dotemu,Visit website,
R Programming Solution,"June 20, 2016",7.7M,"10,000+",1.0.3,4.0 and up,Everyone,,,View details,Flag as inappropriate,Sanjoy Bijoy,Visit website,
Learn R Programming,"August 6, 2019",4.3M,"1,000+",1.3,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Study Point,artigoutam.in@gmail.com,
R Quick Reference Big Data,"May 29, 2017",3.6M,"1,000+",1.2,2.3 and up,Everyone,,,View details,Flag as inappropriate,reap.as.I.sow,Visit website,
RMEduS - 음성인식을 활용한 R 프로그래밍 실습 시스템,"July 17, 2018",64M,100+,1.0.1,4.4 and up,Everyone,,,View details,Flag as inappropriate,제이에스데이타,Visit website,
R-TYPE,"February 27, 2017",23M,"100,000+",2.3.1,2.3.3 and up,Everyone,,,View details,Flag as inappropriate,Dotemu,Visit website,
R Studio,"July 8, 2016",8.9M,"10,000+",2.1.1,4.0.3 and up,Everyone,Shares Location,,View details,Flag as inappropriate,Quick eSelling Inc.,Visit website,
Day R Premium,"March 24, 2020",73M,"100,000+",1.661,4.0.3 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,tltGames,Visit website,
R Bank,"January 22, 2020",18M,"5,000+",6.2.3.0,7.0 and up,Everyone,,,View details,Flag as inappropriate,R Bank,Visit website,
Elemental Knights R Platinum,"March 25, 2020",83M,"50,000+",6.4.8,4.1 and up,Teen,"Users Interact, Digital Purchases",$0.99 - $65.39 per item,View details,Flag as inappropriate,"Winlight Co.,Ltd.-eko",Visit website,
Neon-R (Red),"March 12, 2015",41M,100+,1.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,PhunktasticDesigns,phunktasticdesigns@gmail.com,
Mat|r viewer,"September 19, 2019",31M,500+,1.6.0,5.0 and up,Everyone,,,View details,Flag as inappropriate,INOSUR,Visit website,
R. Lee Ermey's Official Sound,"September 19, 2012",2.7M,"500,000+",1.4,2.1 and up,Mature 17+,Digital Purchases,,View details,Flag as inappropriate,Barry Looney,barryllooney@gmail.com,
SHAREit - Transfer & Share,"April 10, 2020",32M,"1,000,000,000+",5.3.89_ww,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,SHAREit Technologies Co.Ltd,Visit website,
S Launcher for Galaxy TouchWiz,"February 23, 2019",2.2M,"1,000,000+",1.1.2,4.1 and up,Everyone,,,View details,Flag as inappropriate,SS App,ssappservice@gmail.com,
S Player - Lightest and Most Powerful Video Player,"January 30, 2019",6.9M,"1,000,000+",1.1.8_ww,2.3 and up,Everyone,,,View details,Flag as inappropriate,SuperTools Corporation,Visit website,
Offroad Pickup Truck S,"October 10, 2017",20M,"1,000,000+",1.7,2.3 and up,Everyone,Digital Purchases,$0.99 - $119.99 per item,View details,Flag as inappropriate,Oppana Games,Visit website,
S Launcher Pro for Galaxy,"February 12, 2016",26k,"1,000+",1.0,4.1 and up,Everyone,,,View details,Flag as inappropriate,SS App,ssappservice@gmail.com,
Type S LED,"March 26, 2020",14M,"100,000+",2.7.1,4.3 and up,Everyone,,,View details,Flag as inappropriate,Winplus North America Inc.,Visit website,
Stupid Zombies,"March 11, 2020",38M,"50,000,000+",3.2.6,4.4 and up,Everyone 10+,In-Game Purchases,$0.99 - $5.99 per item,View details,Flag as inappropriate,GameResort,Visit website,
S’more - Earn Cash Rewards,"April 7, 2020",23M,"1,000,000+",1.8.15,4.4 and up,Everyone,Shares Info,,View details,Flag as inappropriate,"Lab465, LLC",Visit website,
Samsung Smart Switch Mobile,"March 18, 2020",28M,"100,000,000+",3.7.04.4,4.0 and up,Everyone,,,View details,Flag as inappropriate,"Samsung Electronics Co.,  Ltd.",Visit website,
Crime Wars S. Andreas,"April 12, 2017",93M,"500,000+",1.2,2.3 and up,Teen,,,View details,Flag as inappropriate,Extereme Games,Visit website,
